Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_sub-nav-cta-optional-url,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/personal-assistant-at-talaat-moustafa-group-4300017764?position=2&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=GqUbm736thADmnDcDu9BOg%3D%3D,Personal Assistant,"Arrange and coordinate meetings, including scheduling, preparing agendas, booking meeting rooms, and arranging necessary equipment or catering.",Full-Time,On-Site,Booking (Resource Planning Software),"Coordinating, Scheduling"
ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/draftsman-at-elsewedy-electric-4284139563?position=3&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=G7kJ29tWmB6XTjbGyxbLWw%3D%3D,DRAFTSMAN,"- - Fast Lerner - Able to implement specs, codes, standards into Engineering outputs - Good computer skills. (deal with the computer design programs) - Hard worker.",Full-Time,On-Site,Computer Design,
Sharaf DG Egypt,https://eg.linkedin.com/company/sharaf-dg-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/cashier-at-sharaf-dg-egypt-4292772990?position=6&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=WET9X8%2FQjlqk8n1RPIYSIg%3D%3D,Cashier,"Assist customers with payment-related queries, including redemption of credit card points and gift vouchers.",Full-Time,On-Site,"Credit Card Applications, Voucher",
ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_sub-nav-cta-optional-url,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-document-controller-at-elsewedy-electric-4301277743?position=7&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=Dy0mcyxX%2Fra9jlM5kNv%2FqA%3D%3D,Junior Document Controller,"has been a leading manufacturer of electrical products and solutions, operating in 19 countries with over 18,000 employees. We offer a diverse range of products across wire & cable, electrical equipment, engineering & construction, digital solutions, and infrastructure investments.",Full-Time,On-Site,"Electrical Equipment, Electricity, Investments","Operations, Construction, Construction, Infrastructure"
Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_sub-nav-cta-optional-url,"Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/showroom-receptionist-at-al-mansour-automotive-4288774594?position=10&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=prHkJ%2FyxwNgaZsYz2AAdbg%3D%3D,Showroom Receptionist,Receive visitors and respond accurately and promptly to a broad range of questions and issues raised.,Full-Time,On-Site,,
Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-science-specialist-at-banque-misr-4281680681?position=2&pageNum=7&refId=I%2BLIgJO5fE7jtld11W8lsw%3D%3D&trackingId=%2Bps6P1UV1t2lpMs410g3ng%3D%3D,Data Science Specialist,"Banque Misr is transforming into an AI-led bank, revolutionizing how we serve our customers and drive the future of finance. We leverage our rich heritage and expertise to build a data-driven powerhouse that anticipates customer needs, personalizes experiences, and optimizes operations. We're not just talking about AI; we're deploying it, and we're seeing tangible results that touch the lives of every Egyptian. Join our agile, hybrid team and be at the forefront of this exciting transformation!",Full-Time,Hybrid,"Banking, Finance, PowerHouse (Programming Language), Agility, Transformation (Genetics)",Operations
Abu Dhabi Islamic Bank - Egypt,https://eg.linkedin.com/company/abu-dhabi-islamic-bank---egypt?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/personal-banker-cairo-at-abu-dhabi-islamic-bank-egypt-4297420439?position=3&pageNum=7&refId=I%2BLIgJO5fE7jtld11W8lsw%3D%3D&trackingId=8akPtfQxK12eU5mxvEIPKg%3D%3D,Personal Banker - Cairo,Responsible for achieving & delivering his/her targets of the allocated range of products specific to Advising Zone.,Full-Time,,"TARGET 3001!, Advising",
Aujan Coca-Cola Beverages Company (ACCBC),https://ae.linkedin.com/company/aujan-industries?trk=public_jobs_sub-nav-cta-optional-url,"Sharkia, Egypt",https://eg.linkedin.com/jobs/view/sales-supervisor-sharkia-at-aujan-coca-cola-beverages-company-accbc-4297593676?position=7&pageNum=7&refId=I%2BLIgJO5fE7jtld11W8lsw%3D%3D&trackingId=EsA1FRowUnWaxC6Iq%2FC%2FtA%3D%3D,Sales Supervisor - Sharkia,"is responsible for managing sales and distribution operations through distributors to all sales channels. This role focuses on driving sales growth, ensuring efficient distribution, and maintaining strong relationships with distributors to achieve business objectives.",Full-Time,,Sales Management,"Operations, Sales, Sales"
First Abu Dhabi Bank Misr (FABMISR),https://eg.linkedin.com/company/fabmisr?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/hr-services-officer-at-first-abu-dhabi-bank-misr-fabmisr-4290374596?position=8&pageNum=7&refId=I%2BLIgJO5fE7jtld11W8lsw%3D%3D&trackingId=Pzdk%2BdS17%2FW%2Fj1BldGt1Gw%3D%3D,HR Services Officer,"Support all relevant Employee Service activities associated with resignations, on-boarding and off-boarding for FABMisr employees.",Full-Time,On-Site,,
Homzmart,https://eg.linkedin.com/company/homzmart?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-analyst-supply-chain-at-homzmart-4281256985?position=9&pageNum=7&refId=I%2BLIgJO5fE7jtld11W8lsw%3D%3D&trackingId=jmSA56fwVOkrN5HtXm4TxA%3D%3D,Data Analyst - Supply Chain,"Develop, maintain, and automate reports to monitor performance across departments.",Full-Time,,"Automation, Performance Monitor",
